molecule_A2B,2_1_3
molecule_A3B,3_1_4
├─ add                    0.778 ns      │ 2.871 ns      │ 0.779 ns      │ 0.802 ns      │ 100     │ 204800
├─ divan_inference        695.1 µs      │ 746.4 µs      │ 697.7 µs      │ 699.3 µs      │ 100     │ 100
├─ divan_training         1.053 ms      │ 1.182 ms      │ 1.055 ms      │ 1.059 ms      │ 100     │ 100
╰─ divan_training_verify  1.047 ms      │ 1.073 ms      │ 1.048 ms      │ 1.049 ms      │ 100     │ 100

molecule_A3B,3_1_5
├─ add                    0.779 ns      │ 0.793 ns      │ 0.781 ns      │ 0.782 ns      │ 100     │ 204800
├─ divan_inference        1.227 ms      │ 1.35 ms       │ 1.259 ms      │ 1.26 ms       │ 100     │ 100
├─ divan_training         2.237 ms      │ 2.251 ms      │ 2.24 ms       │ 2.24 ms       │ 100     │ 100
╰─ divan_training_verify  2.203 ms      │ 2.234 ms      │ 2.22 ms       │ 2.219 ms      │ 100     │ 100

molecule_A3B,3_1_6
├─ add                    0.33 ns       │ 0.349 ns      │ 0.331 ns      │ 0.333 ns      │ 100     │ 204800
├─ divan_inference        2.256 ms      │ 2.34 ms       │ 2.264 ms      │ 2.264 ms      │ 100     │ 100
├─ divan_training         5.072 ms      │ 5.095 ms      │ 5.074 ms      │ 5.074 ms      │ 100     │ 100
╰─ divan_training_verify  5.075 ms      │ 5.105 ms      │ 5.077 ms      │ 5.078 ms      │ 100     │ 100

molecule_A3B,3_1_7
├─ add                    0.391 ns      │ 0.401 ns      │ 0.392 ns      │ 0.392 ns      │ 100     │ 204800
├─ divan_inference        3.999 ms      │ 4.096 ms      │ 4.001 ms      │ 4.003 ms      │ 100     │ 100
├─ divan_training         9.5 ms        │ 9.531 ms      │ 9.503 ms      │ 9.504 ms      │ 100     │ 100
╰─ divan_training_verify  9.466 ms      │ 9.521 ms      │ 9.47 ms       │ 9.471 ms      │ 100     │ 100

molecule_A3B,3_1_8
├─ add                    0.392 ns      │ 0.396 ns      │ 0.392 ns      │ 0.393 ns      │ 100     │ 204800
├─ divan_inference        6.979 ms      │ 7.096 ms      │ 6.982 ms      │ 6.983 ms      │ 100     │ 100
